genome_accession,genome_avg_NOSC
GB_GCA_903918235,-0.17079932125679867
GB_GCA_016235875,-0.1960583567250329
RS_GCF_014841615,-0.12477325936477861
GB_GCA_002215665,-0.2146708206751503
RS_GCF_900101745,-0.11493691307624808
GB_GCA_003962975,-0.15040003638055613
GB_GCA_018268935,-0.13437171162225994
RS_GCF_015708085,-0.13461456115585924
GB_GCA_017558505,-0.16129894470185452
RS_GCF_900102365,-0.19675299563547932
RS_GCF_007992215,-0.13372556007384356
GB_GCA_003223835,-0.1270609604952778
RS_GCF_001303895,-0.14985387327847896
GB_GCA_902776375,-0.1573024027623623
RS_GCF_001429245,-0.1489350506048716
GB_GCA_002441005,-0.19479004206813189
RS_GCF_002262885,-0.12035502035729938
GB_GCA_017622825,-0.1742105245149122
GB_GCA_910578885,-0.16593880898909144
GB_GCA_013360485,-0.12772982341690184
RS_GCF_003391335,-0.2746995151528418
GB_GCA_900322145,-0.15448368081458883
RS_GCF_002289345,-0.16144907451459042
GB_GCA_902585265,-0.22415133797340317
GB_GCA_000437675,-0.1526858781877313
GB_GCA_013299105,-0.1639408674572176
GB_GCA_002634385,-0.170607733225025
RS_GCF_001426195,-0.13106869312065714
RS_GCF_900111605,-0.1530949503947443
GB_GCA_000687675,-0.18188765607993984
GB_GCA_902602885,-0.20794007742124265
RS_GCF_003253005,-0.18020266055918224
GB_GCA_014860585,-0.16778601396851525
GB_GCA_005881425,-0.1396748182742933
GB_GCA_002438865,-0.16045641291091756
RS_GCF_000737325,-0.09772866657583214
GB_GCA_017694425,-0.19276329588183672
GB_GCA_002928965,-0.15875069232858166
GB_GCA_017631315,-0.14518179900219988
GB_GCA_017504485,-0.14457661631985164
RS_GCF_002838765,-0.1601580289464041
GB_GCA_910585555,-0.16783081065656513
GB_GCA_004791645,-0.15531862776396504
RS_GCF_000257395,-0.18933156773660914
GB_GCA_014360685,-0.14558326069845395
GB_GCA_902363445,-0.16536991756474323
GB_GCA_000405605,-0.22738671627100335
GB_GCA_002455255,-0.1950821214465044
GB_GCA_016212965,-0.1112825763874332
RS_GCF_900116125,-0.16621656081276304
GB_GCA_003235475,-0.1312621668701119
GB_GCA_018883125,-0.13419087409741082
GB_GCA_012513645,-0.15495977307356568
GB_GCA_003551905,-0.18734804668140081
RS_GCF_014201145,-0.122638300691598
RS_GCF_001668615,-0.12550843901033593
RS_GCF_000701525,-0.21438793262973377
RS_GCF_016595795,-0.20351661624795575
GB_GCA_902532675,-0.1702958383227811
RS_GCF_004125825,-0.19377596403603872
GB_GCA_003140835,-0.13235767309139448
GB_GCA_015059045,-0.1995018277247742
GB_GCA_900754745,-0.12982987541993135
GB_GCA_018268545,-0.11525623363811972
GB_GCA_011064965,-0.1876790608132565
RS_GCF_000765825,-0.18765009987112197
GB_GCA_017438945,-0.1506906976565184
RS_GCF_000284375,-0.14745260886020534
GB_GCA_009788135,-0.16770021214899172
GB_GCA_019114645,-0.13940918929447288
GB_GCA_004294385,-0.16303172300637503
GB_GCA_903872565,-0.170294097385222
GB_GCA_007135095,-0.1590720286836769
GB_GCA_002352565,-0.1429859980348231
RS_GCF_015910535,-0.11271516315329574
GB_GCA_902781315,-0.13581196594179756
RS_GCF_002954405,-0.09767971799203462
RS_GCF_014901205,-0.13718573696121483
GB_GCA_900768875,-0.16619091236592803
GB_GCA_017431165,-0.14877493309605183
GB_GCA_016744475,-0.14163372232515542
GB_GCA_903894995,-0.1505742311895404
GB_GCA_017983495,-0.1484249832638527
GB_GCA_903919145,-0.11312064374815528
GB_GCA_001781335,-0.16467875521753136
RS_GCF_900113805,-0.1935597537887748
RS_GCF_003073135,-0.10783420567895612
RS_GCF_013409475,-0.1199703026644018
RS_GCF_014084025,-0.23068450983518735
GB_GCA_000436535,-0.16947749844071733
GB_GCA_000435675,-0.14962172080946248
GB_GCA_017991315,-0.15322697803502186
GB_GCA_003211755,-0.17543223203831
GB_GCA_017563185,-0.12347652023012541
RS_GCF_000682715,-0.13058108285154083
RS_GCF_012927245,-0.11143058396074705
GB_GCA_004353515,-0.15158209281536214
GB_GCA_900316395,-0.16691801098257275
GB_GCA_017515565,-0.1405586516683677
RS_GCF_009861525,-0.14751802347505896
GB_GCA_011052985,-0.154279341883281
GB_GCA_002455915,-0.18211399709820425
GB_GCA_015228895,-0.14907078986312866
RS_GCF_018323885,-0.15880086725139902
GB_GCA_014802175,-0.15089022775146446
GB_GCA_016302015,-0.1537167870356631
RS_GCF_001468225,-0.1307726616012075
RS_GCF_000425505,-0.18874372398096625
GB_GCA_013388515,-0.19320486114823163
RS_GCF_001908025,-0.17661010743900898
GB_GCA_002167605,-0.14987666137065508
RS_GCF_003205495,-0.14976276244285905
GB_GCA_002308875,-0.18429306901580972
GB_GCA_016874555,-0.1414221607290582
GB_GCA_018384375,-0.17864673632579908
RS_GCF_004295345,-0.1502108656605503
RS_GCF_014202595,-0.18537259293750505
GB_GCA_002328665,-0.19388152874182726
GB_GCA_905233215,-0.16564221563704157
GB_GCA_903827085,-0.13127835946200664
GB_GCA_910588215,-0.15993252947209816
GB_GCA_002154345,-0.11224020285599302
GB_GCA_012841405,-0.1369755090012614
GB_GCA_902597545,-0.1917740929078952
RS_GCF_900537075,-0.1369094830403629
RS_GCF_001954195,-0.12396128676769298
GB_GCA_017995215,-0.1811915199516397
GB_GCA_902800305,-0.14315137183011648
GB_GCA_016223045,-0.12475596443652331
GB_GCA_902779395,-0.16098409985080558
GB_GCA_003567625,-0.18104574657062353
GB_GCA_002449335,-0.17665021429925612
RS_GCF_900114535,-0.13608726669209278
RS_GCF_000018785,-0.21115316653555602
GB_GCA_017626625,-0.1665265604142358
GB_GCA_902620405,-0.18957002191620304
RS_GCF_008711285,-0.14072678311989031
GB_GCA_902625365,-0.20658070258169645
RS_GCF_002304005,-0.18913302499385382
RS_GCF_009828015,-0.12234651997811267
GB_GCA_012513235,-0.15362002998128954
GB_GCA_013203755,-0.18110465319019214
RS_GCF_001421705,-0.13675859794143316
GB_GCA_900320995,-0.15647798958899772
GB_GCA_904501705,-0.15192275406826086
GB_GCA_009921165,-0.17095741125343408
GB_GCA_011361985,-0.26842005470902497
GB_GCA_013824685,-0.16186340121241888
GB_GCA_002712765,-0.1692556461384752
RS_GCF_003123745,-0.1289971788498682
RS_GCF_900111865,-0.19265778425054286
RS_GCF_900110655,-0.1440464860499408
GB_GCA_017962235,-0.15013132783726463
RS_GCF_900111595,-0.17967671374899638
GB_GCA_016196555,-0.18431154930179167
GB_GCA_902801885,-0.15503900702522305
GB_GCA_903885605,-0.11698385795587979
GB_GCA_002716765,-0.18585274957080286
GB_GCA_017547315,-0.1778259196573603
RS_GCF_900128945,-0.18002315623175982
RS_GCF_000406105,-0.1493287446585187
RS_GCF_011299555,-0.1790155498879333
RS_GCF_003751275,-0.1437013894202519
RS_GCF_000426745,-0.174532875021692
GB_GCA_003563855,-0.10967808411584302
GB_GCA_016649425,-0.1585796068711328
GB_GCA_003248755,-0.18677029371073217
GB_GCA_002345505,-0.21544644692713139
RS_GCF_013391695,-0.1608565694072951
GB_GCA_016194905,-0.1530409020130112
GB_GCA_902609035,-0.18494013720241256
GB_GCA_902762435,-0.144604753984754
GB_GCA_007126575,-0.11303140551657734
GB_GCA_001823165,-0.19653349975859946
RS_GCF_004349055,-0.1307990881335017
GB_GCA_902632575,-0.20686351121218483
RS_GCF_018448905,-0.1615634083981667
GB_GCA_900314565,-0.14984352978597842
GB_GCA_017829005,-0.16237192980972
GB_GCA_003136655,-0.13576739076586483
GB_GCA_902797985,-0.18034924194268348
RS_GCF_900119485,-0.17573551079176758
GB_GCA_001775055,-0.22362908572675336
RS_GCF_005116655,-0.17004485044359322
GB_GCA_013911975,-0.15026020292432796
GB_GCA_905221385,-0.18037571508481498
GB_GCA_002367335,-0.19151487111469725
GB_GCA_902787295,-0.14477429594276703
RS_GCF_000169415,-0.13235090973056682
RS_GCF_013032855,-0.13953938061698512
RS_GCF_001592225,-0.1450968392113699
RS_GCF_016908465,-0.1962795937509284
GB_GCA_014381035,-0.13362944094697762
GB_GCA_003444085,-0.18064895765250596
GB_GCA_017454915,-0.14715988956855292
GB_GCA_018242165,-0.13491514684116102
GB_GCA_013152535,-0.2029029562566623
GB_GCA_017626435,-0.16219601491026123
GB_GCA_002728255,-0.15479807459368602
GB_GCA_015065075,-0.16387075259992087
GB_GCA_903860195,-0.13152234837642318
GB_GCA_900752785,-0.15944015711316536
RS_GCF_001684025,-0.15157903572150266
RS_GCF_002699985,-0.15145325267790477
GB_GCA_018334855,-0.15991394631950037
RS_GCF_000300275,-0.14287959692934651
GB_GCA_019247255,-0.13800068794111323
GB_GCA_900315205,-0.16708061027231647
GB_GCA_003666385,-0.17789527310510947
RS_GCF_000767055,-0.1207682457496315
GB_GCA_901472405,-0.1474535737544261
GB_GCA_005239465,-0.15796930105525592
GB_GCA_017302135,-0.12428298870636058
GB_GCA_002352365,-0.17345445659210326
RS_GCF_002724055,-0.2097277961212894
RS_GCF_016908615,-0.16016920151734768
GB_GCA_009861545,-0.10549442202695535
GB_GCA_003524435,-0.13621741351973496
GB_GCA_900753685,-0.17069483417116138
GB_GCA_002343335,-0.16638003460521286
GB_GCA_003151375,-0.16840552385223556
GB_GCA_018402035,-0.14425714048538377
GB_GCA_010027845,-0.1340742992541237
RS_GCF_001544835,-0.13799572444208474
GB_GCA_003216975,-0.18787734697219208
GB_GCA_017848335,-0.14666118708813156
GB_GCA_900556195,-0.17860268230721152
GB_GCA_002392945,-0.19294625471281862
RS_GCF_001707885,-0.19077408682075603
GB_GCA_014858005,-0.12289732494099136
RS_GCF_014069575,-0.134608273021606
GB_GCA_003173865,-0.19182257208850154
GB_GCA_002427755,-0.16816206145609344
RS_GCF_013385985,-0.1533666320947414
GB_GCA_017399185,-0.18561630950878683
RS_GCF_008042115,-0.10633012868148432
RS_GCF_003390325,-0.1359509623486159
GB_GCA_002839505,-0.17521036727860242
GB_GCA_003599025,-0.1734789780970902
RS_GCF_001746835,-0.15254174924311875
GB_GCA_902587315,-0.2301292981241087
RS_GCF_001639105,-0.13759744111929204
GB_GCA_006212015,-0.13877879091147058
GB_GCA_902806315,-0.12921705368958628
GB_GCA_003218305,-0.15011109247556503
GB_GCA_013178315,-0.18849075672544713
GB_GCA_011045955,-0.1877277515335176
GB_GCA_015491205,-0.24755610759144442
GB_GCA_013002065,-0.17251967990678257
RS_GCF_002159175,-0.14629161488975215
GB_GCA_016867585,-0.1643665076616516
RS_GCF_001676055,-0.15768899385421775
GB_GCA_016720935,-0.1618796635195095
RS_GCF_000333035,-0.11758856993787639
RS_GCF_000091325,-0.16234968447615475
GB_GCA_002011425,-0.1837538307905212
RS_GCF_001277235,-0.15039628379432826
RS_GCF_007002745,-0.15105177939739795
RS_GCF_900478135,-0.15757883900092043
RS_GCF_014712675,-0.19576313347700225
RS_GCF_008086045,-0.12388311151213979
GB_GCA_013299165,-0.1612537598614973
GB_GCA_017621655,-0.16744209262231122
GB_GCA_003526065,-0.12772209241771318
GB_GCA_900768185,-0.1557002138663622
GB_GCA_017424235,-0.17362816122963914
GB_GCA_003252075,-0.1825326241350829
GB_GCA_902797535,-0.15757775298088647
GB_GCA_001776505,-0.20838417626945394
GB_GCA_012798485,-0.2238364487742582
RS_GCF_016597725,-0.14266525062532665
GB_GCA_003260355,-0.1906730668094587
RS_GCF_016889765,-0.12881282461082288
GB_GCA_002733905,-0.15631999470972138
RS_GCF_003386735,-0.12953910313758044
GB_GCA_002723035,-0.18394280428288032
GB_GCA_902587515,-0.2339149774171897
GB_GCA_017307785,-0.13579388016889346
GB_GCA_002238705,-0.10493560948070259
RS_GCF_000716675,-0.1074334466123739
GB_GCA_017621975,-0.1663399182917448
RS_GCF_013307205,-0.169078173455687
RS_GCF_900106525,-0.11557180650647908
GB_GCA_017634455,-0.164098442578283
GB_GCA_011620145,-0.14140144810148086
RS_GCF_002861385,-0.12975452243417554
RS_GCF_900313035,-0.138242410644653
GB_GCA_018699955,-0.12378476452261818
GB_GCA_902521655,-0.1893373550560742
RS_GCF_013414345,-0.13363734995922458
GB_GCA_000953215,-0.18625601006118908
GB_GCA_003213695,-0.22623416227041085
GB_GCA_003216535,-0.20314779229678193
GB_GCA_017651645,-0.15293690977007202
GB_GCA_001704575,-0.15763751770363724
RS_GCF_009193255,-0.1317503977760033
GB_GCA_014238935,-0.1413718261851074
RS_GCF_000474215,-0.15163236589468423
RS_GCF_000621745,-0.20182073110003268
GB_GCA_017419465,-0.15068507246862184
GB_GCA_003695205,-0.14528146436280215
GB_GCA_003054665,-0.14043833706394432
GB_GCA_017455145,-0.16667375996868242
GB_GCA_000511875,-0.14609178644355528
RS_GCF_013135345,-0.12205522378602715
GB_GCA_016776635,-0.139113293977451
GB_GCA_903868295,-0.14826319160360998
GB_GCA_900539195,-0.16424424133908888
RS_GCF_004364335,-0.14672690848027742
GB_GCA_016218365,-0.14183943031345153
GB_GCA_003247575,-0.11715633166601629
GB_GCA_013333255,-0.1911713177366459
RS_GCF_019039105,-0.17287130764269593
RS_GCF_002286775,-0.19073491481554397
GB_GCA_018384835,-0.13877687839744185
GB_GCA_005888435,-0.13303841879235184
RS_GCF_017603825,-0.1331803590825444
GB_GCA_002293105,-0.16301108284384971
GB_GCA_002436005,-0.17125096313824084
GB_GCA_902557655,-0.18329197163845262
GB_GCA_003151595,-0.11701982153611841
RS_GCF_000025925,-0.15145641070629995
GB_GCA_900556095,-0.14471343304548792
RS_GCF_900111275,-0.14725487214706598
GB_GCA_002839355,-0.1769754703825656
GB_GCA_002723415,-0.1953380318521916
GB_GCA_017545585,-0.16911916541961725
RS_GCF_018687355,-0.17270190371366845
GB_GCA_009787835,-0.16791227597579386
RS_GCF_900108875,-0.14871228513281337
GB_GCA_015654915,-0.15684863205538999
GB_GCA_009779495,-0.15526712334878126
RS_GCF_900109185,-0.1350471329745252
GB_GCA_004295005,-0.12526483929083895
GB_GCA_013694845,-0.1312021646648397
RS_GCF_003289945,-0.14573416189486033
RS_GCF_002272785,-0.21012639658842572
RS_GCF_014202435,-0.12104806083366663
RS_GCF_002150505,-0.17944777430838954
GB_GCA_013288325,-0.16985360055234333
GB_GCA_018376135,-0.1641731807436432
GB_GCA_011056645,-0.2309700810274896
RS_GCF_011064595,-0.11892109632672634
GB_GCA_014728085,-0.16473260621681465
RS_GCF_014651715,-0.12013809154575789
GB_GCA_014654245,-0.22455427853372054
GB_GCA_902773835,-0.15849695700812524
GB_GCA_002392545,-0.151355909120866
RS_GCF_003003215,-0.13268881095038368
GB_GCA_902806435,-0.15768934154395775
GB_GCA_002713495,-0.21314954519083437
GB_GCA_017541885,-0.18872656954130845
GB_GCA_016870535,-0.13213707317296744
RS_GCF_000701785,-0.2122718256397698
GB_GCA_003166375,-0.13003770192196276
GB_GCA_009360345,-0.13288685313508244
RS_GCF_000964425,-0.12538673693834237
GB_GCA_011389575,-0.17501137607768563
GB_GCA_903821415,-0.2033142396899435
GB_GCA_013205335,-0.14946036417540845
GB_GCA_017852395,-0.17922239985884703
RS_GCF_003268855,-0.18993867416108054
RS_GCF_005082145,-0.24231957323345932
GB_GCA_016190665,-0.15453387672217592
GB_GCA_001772005,-0.15351737695115297
GB_GCA_011523655,-0.13008110728676617
GB_GCA_902805855,-0.1096711683240433
RS_GCF_006717095,-0.11890923535093546
GB_GCA_002434005,-0.15491987348037245
RS_GCF_000392435,-0.1535933030018187
RS_GCF_002288305,-0.1877096543517489
GB_GCA_019242135,-0.12386929523034096
RS_GCF_001434665,-0.18641796958554133
RS_GCF_017349315,-0.1443495534304032
GB_GCA_013002425,-0.12892366568392072
GB_GCA_900544975,-0.1404167925846162
GB_GCA_001464215,-0.16508560543013662
GB_GCA_002404015,-0.1415369989236106
RS_GCF_000152725,-0.12704124469325168
RS_GCF_002108455,-0.1542145332067125
GB_GCA_012522765,-0.10800206464751715
GB_GCA_005883615,-0.1319999706191118
RS_GCF_006476065,-0.12428795339619579
RS_GCF_002812125,-0.19741836515284233
GB_GCA_001797445,-0.1541146346278607
RS_GCF_016919245,-0.10321696041728011
RS_GCF_001654495,-0.10646939212726962
GB_GCA_018883455,-0.144440984471
GB_GCA_900472925,-0.1523113907074785
GB_GCA_902772675,-0.1985116115411682
GB_GCA_017547605,-0.15488154567687262
GB_GCA_001795345,-0.1376644377566653
GB_GCA_019237325,-0.15863852361035213
RS_GCF_014650915,-0.1052782580887434
GB_GCA_016932235,-0.183251969792386
RS_GCF_002001085,-0.13292718298051104
GB_GCA_002304855,-0.21169548188489273
GB_GCA_902783245,-0.1657566005790148
RS_GCF_003259615,-0.18557077876290015
RS_GCF_004358165,-0.12103188622251924
GB_GCA_016936455,-0.15444880215805246
GB_GCA_000245075,-0.1407176503287665
RS_GCF_000621165,-0.15102874291387758
RS_GCF_001297065,-0.1818541861988297
GB_GCA_902762855,-0.14446691887318316
RS_GCF_003591035,-0.1454374525443517
GB_GCA_003541895,-0.18601634577204348
GB_GCA_003242605,-0.12525528141659156
GB_GCA_003136295,-0.13352189753200425
RS_GCF_012273655,-0.10546416709668817
RS_GCF_900115745,-0.1265740302761903
RS_GCF_012726205,-0.11429415451059156
GB_GCA_002373165,-0.15262998018252602
GB_GCA_002480165,-0.1697409808513755
RS_GCF_901875555,-0.18256803886643858
GB_GCA_018382295,-0.13086927339886525
GB_GCA_016209635,-0.15399162226624497
GB_GCA_902510995,-0.19809608047325125
GB_GCA_018894995,-0.20192660657051947
GB_GCA_017511205,-0.16773359377132915
RS_GCF_900113285,-0.1650059970120538
RS_GCF_902497875,-0.15279760428799805
GB_GCA_015057315,-0.16760821209837046
GB_GCA_019245575,-0.11834831229106192
GB_GCA_902762875,-0.17870345890467887
RS_GCF_001886265,-0.19010449067428295
GB_GCA_011389395,-0.1880067626404228
RS_GCF_002238335,-0.21598028586540757
GB_GCA_910586305,-0.1461478040114715
RS_GCF_001499855,-0.12364245884060882
GB_GCA_011524905,-0.17299441773898366
RS_GCF_016774515,-0.18857991611553704
GB_GCA_902795905,-0.15796273626184493
RS_GCF_004770105,-0.19222888388736117
GB_GCA_016929445,-0.15541121689097015
RS_GCF_004343195,-0.1565785955194877
GB_GCA_015494465,-0.19232501468967414
GB_GCA_017543415,-0.17524530359462753
GB_GCA_903820655,-0.15279910399151553
GB_GCA_900546605,-0.14438945315949164
RS_GCF_002813915,-0.18825532256250457
GB_GCA_903900235,-0.13618946669346954
GB_GCA_007120425,-0.2007316950901784
GB_GCA_012517635,-0.20586961241407586
GB_GCA_017445425,-0.15234901249377003
RS_GCF_011074795,-0.13866108936701257
GB_GCA_017498545,-0.12303295631899663
GB_GCA_009925685,-0.19517505274401278
GB_GCA_905193685,-0.2263884611085321
GB_GCA_017403265,-0.1881562441454121
GB_GCA_001783595,-0.21681296311217202
GB_GCA_017480225,-0.12845082734163232
GB_GCA_012727545,-0.17954052124390407
RS_GCF_001518015,-0.1379551664646892
GB_GCA_014653545,-0.22940791575565572
GB_GCA_902784305,-0.13984540533980366
RS_GCF_015218165,-0.166154939802672
RS_GCF_000711725,-0.13054508567536524
GB_GCA_014382015,-0.16711833273374124
GB_GCA_009925805,-0.1673148569339437
GB_GCA_001725415,-0.11610561795585685
GB_GCA_004299445,-0.13020964533790685
GB_GCA_002730315,-0.17040296227218676
RS_GCF_014646675,-0.19897373720968886
RS_GCF_000429325,-0.15771551378529658
GB_GCA_905209085,-0.16251490278770134
RS_GCF_001531445,-0.1857934842838353
GB_GCA_015163845,-0.16575161596635457
RS_GCF_013408745,-0.13366801889476418
GB_GCA_016218805,-0.11215396564828567
RS_GCF_002218045,-0.16090853965386806
GB_GCA_009778545,-0.15679431992957948
GB_GCA_009840525,-0.10865253857731567
GB_GCA_002472915,-0.14148420128152145
GB_GCA_910585045,-0.20644020805578137
GB_GCA_017302435,-0.14731416305793318
RS_GCF_003034845,-0.13610121667126854
GB_GCA_900547505,-0.13407020646166562
GB_GCA_016872895,-0.12278769607821992
RS_GCF_000220565,-0.13698994969338335
GB_GCA_017539645,-0.14586859869635016
GB_GCA_016783915,-0.1441886337913242
RS_GCF_004295585,-0.17477047088229725
RS_GCF_000621665,-0.1453697678538428
GB_GCA_002470825,-0.17713004383584208
GB_GCA_900768685,-0.16191212643831454
RS_GCF_000400735,-0.16804750439421526
RS_GCF_005885675,-0.18925417415153653
RS_GCF_001672295,-0.16632411195129954
GB_GCA_018065645,-0.1607668676707231
GB_GCA_910579925,-0.1656294293103192
RS_GCF_900110885,-0.14212243766505983
RS_GCF_009696005,-0.14626275008427136
GB_GCA_010028615,-0.1709067977194168
RS_GCF_001648155,-0.18169791856285214
GB_GCA_000432655,-0.15783259674126454
GB_GCA_910586865,-0.19877583861146034
GB_GCA_014378995,-0.12725182803697857
GB_GCA_002370555,-0.12797804945630234
GB_GCA_002405525,-0.11808295307344192
RS_GCF_001620265,-0.14165601538986292
GB_GCA_015063795,-0.16174311751872295
RS_GCF_002211145,-0.1207568844008972
GB_GCA_007096045,-0.17756362139230158
RS_GCF_002091955,-0.12748281311462784
GB_GCA_013298365,-0.17813796774612906
GB_GCA_003343965,-0.1745689478307082
GB_GCA_017525245,-0.14991293261312272
GB_GCA_001797335,-0.20514964226619123
RS_GCF_002022685,-0.16881810417491405
GB_GCA_905365345,-0.13949334030711605
GB_GCA_016183615,-0.14989242143928053
RS_GCF_001029505,-0.1132807965602834
GB_GCA_017694795,-0.18595252070417767
GB_GCA_002418685,-0.18807002910520326
GB_GCA_002392765,-0.12777878951215216
GB_GCA_001304155,-0.20032388970124965
GB_GCA_012519835,-0.1978874354187378
GB_GCA_001779575,-0.21789652078165836
RS_GCF_018070325,-0.12039914144631192
GB_GCA_016200495,-0.13112891248229971
RS_GCF_001421995,-0.12343103840164615
GB_GCA_903929475,-0.14534771994008397
GB_GCA_002708415,-0.15756289613573485
GB_GCA_003516285,-0.20150263173094127
GB_GCA_900321665,-0.174965155777369
GB_GCA_016719015,-0.17999540583972376
RS_GCF_001870485,-0.15286222713987957
GB_GCA_000681355,-0.20531412291758055
GB_GCA_002383165,-0.18641186089970754
GB_GCA_011526385,-0.2189104370019459
GB_GCA_003599425,-0.1793449842672243
GB_GCA_902551445,-0.22700482453626045
GB_GCA_011388305,-0.155125869720421
GB_GCA_016587355,-0.14797959248603518
RS_GCF_000482245,-0.15253110999457728
RS_GCF_000510645,-0.18980243299231755
GB_GCA_011526085,-0.11821639078450918
GB_GCA_003646995,-0.18592141890916633
GB_GCA_900756555,-0.1735074200993549
GB_GCA_015064505,-0.16079922017246456
GB_GCA_011064875,-0.23215292309824367
GB_GCA_006212045,-0.14454984347764194
RS_GCF_000972705,-0.162688112871978
GB_GCA_013911065,-0.17827757285729984
RS_GCF_004851605,-0.1356288332737163
RS_GCF_000308475,-0.1275480260201504
RS_GCF_016907235,-0.12218425234648864
GB_GCA_016872075,-0.21699690498866014
RS_GCF_002796545,-0.12267689164941081
GB_GCA_003056165,-0.2175540065531702
GB_GCA_902605935,-0.17494453837015433
RS_GCF_003287735,-0.16088524813500732
GB_GCA_002368955,-0.1422295015380845
GB_GCA_017504305,-0.1815992121636869
GB_GCA_003646405,-0.1413121466218498
RS_GCF_014127485,-0.11768574325019351
GB_GCA_000473305,-0.18462582314176976
GB_GCA_003605175,-0.13646368371136752
RS_GCF_001192795,-0.184611519434279
RS_GCF_900289175,-0.1752925827472761
RS_GCF_000187465,-0.18259642388581385
GB_GCA_016198945,-0.16584661907231737
GB_GCA_017527075,-0.16893581186484521
GB_GCA_018402235,-0.1281460455399525
RS_GCF_000195315,-0.12967223815911325
RS_GCF_007751715,-0.1179204523546525
GB_GCA_017640445,-0.15066755127258588
GB_GCA_015066805,-0.14658671842822807
RS_GCF_900103875,-0.15455666965959508
RS_GCF_002240225,-0.1679439825395731
RS_GCF_014863355,-0.14917723174427103
GB_GCA_012511615,-0.19041866707524802
GB_GCA_017886205,-0.18097330109969081
RS_GCF_013449685,-0.1553149469028008
RS_GCF_014648555,-0.11278414689512224
GB_GCA_903891165,-0.11984715255873683
GB_GCA_003221075,-0.1393683615244246
RS_GCF_000964685,-0.1633234716610005
RS_GCF_002246015,-0.16922057490864756
GB_GCA_017549565,-0.19053084595944184
GB_GCA_001774105,-0.20945393274657323
RS_GCF_003668635,-0.18191257026359842
RS_GCF_001293685,-0.15692533508795908
RS_GCF_004363805,-0.14595977748889977
GB_GCA_018816665,-0.14064272665330088
GB_GCA_016783675,-0.13324979690579247
GB_GCA_016200675,-0.13405588860955328
GB_GCA_013202615,-0.17353772949053833
GB_GCA_016208255,-0.18669945256531692
GB_GCA_002367285,-0.13544006683564694
GB_GCA_903835005,-0.16702707852271495
GB_GCA_902791335,-0.1646275212171238
