,majority_protein_ids,gene_name,num_aas,mw_daltons,red_light_intensity_uE_m_s,copies_per_cell,NC_per,Ce_per,NC_total,Ce_total,NOSC,fraction_transmembrane,fraction_transmembrane_C,condition,growth_mode,stress,dataset,strain,species,organism_key,growth_rate_hr
14,P20169,"dspA,dfr,sll0698",663,74535.0,27.5,0.14976984,3350.0,-610.8900000000001,501.72896399999996,-91.4928975576,-0.182355223880597,0.090497737556561,0.0925373134328358,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
15,P20170,"trpE,slr0738",508,57146.0,27.5,0.7725036,2559.0,-381.29,1976.8367124,-294.547897644,-0.1489996092223524,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
16,P20388,"desA,slr1350",351,40495.0,27.5,0.081515567,1907.0,-384.46,155.450186269,-31.339474888819996,-0.201604614577871,0.2849002849002849,0.291557420031463,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
17,P20804,"acpP,acp,ssl2084",77,8589.5,27.5,2.836706,378.0,-67.96,1072.274868,-192.78253976,-0.1797883597883597,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
18,P21697,"petE,sll0199",126,13146.0,27.5,16.767578,595.0,-117.61,9976.70891,-1972.03484858,-0.1976638655462184,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
19,P22034,"groL2,cpn60-2,groEL-2,groEL2,sll0416",552,57774.0,27.5,34.69314,2524.0,-480.59,87565.48536,-16673.176152599997,-0.1904080824088748,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
20,P22040,sll0415,354,39500.0,27.5,0.4770012,1774.0,-331.6,846.2001288,-158.17359792000002,-0.1869222096956031,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
21,P22358,"dnaK2,dnaK,sll0170",636,67613.0,27.5,16.0433,2951.0,-400.09,47343.7783,-6418.763896999999,-0.1355777702473737,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
22,P23349,"rplL,rpl12,sll1746",128,13259.0,27.5,12.912382,584.0,-146.18,7540.831088,-1887.53200076,-0.2503082191780822,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
23,P23350,"rplJ,rpl10,sll1745",173,18675.0,27.5,9.773112,819.0,-158.21999999999997,8004.178728,-1546.3017806399996,-0.1931868131868131,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
24,P23353,"aroC,sll1747",362,39287.0,27.5,2.280584,1708.0,-173.87,3895.2374720000003,-396.52514008,-0.1017974238875878,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
25,P24602,"bfr,sll1341",156,18331.0,27.5,4.880392,816.0,-123.84,3982.3998719999995,-604.38774528,-0.1517647058823529,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
26,P26287,"petA,sll1317",328,35230.0,27.5,21.86156,1593.0,-337.61,34825.46508,-7380.6812716,-0.2119334588826114,0.0518292682926829,0.0571249215317011,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
27,P26290,"petC2,sll1316",180,18996.0,27.5,13.44198,840.0,-81.64000000000001,11291.2632,-1097.4032472000001,-0.0971904761904762,0.1222222222222222,0.1285714285714285,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
28,P26522,"ndhA,sll0519",372,40548.0,27.5,1.4303854,1926.0,-660.8399999999999,2754.9222804,-945.2558877359999,-0.3431152647975077,0.4731182795698925,0.4865005192107995,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
29,P26523,"ndhG,sll0521",198,21522.0,27.5,2.393938,1005.0,-345.45000000000005,2405.90769,-826.9858821,-0.3437313432835821,0.5050505050505051,0.5144278606965174,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
30,P26525,"ndhI,sll0520",193,22150.0,27.5,2.183446,993.0,-149.65,2168.161878,-326.7526939,-0.1507049345417925,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
31,P26527,"atpD,atpB,slr1329",483,51732.0,27.5,66.86284,2296.0,-391.68,153517.08064,-26188.837171200004,-0.1705923344947735,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
32,P26533,"atpC,atpE,slr1330",136,14580.0,27.5,6.887068,635.0,-78.10000000000001,4373.2881800000005,-537.8800108,-0.1229921259842519,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
33,P27178,"atpB,atpI,sll1322",276,30698.0,27.5,0.9442716,1446.0,-439.14,1365.4167336,-414.667430424,-0.3036929460580913,0.4347826086956521,0.4287690179806362,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
34,P27179,"atpA,sll1326",503,53965.0,27.5,89.58768,2383.0,-401.66,213487.44144000002,-35983.787548800006,-0.1685522450692404,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
35,P27180,"atpH,atpD,sll1325",185,20093.0,27.5,9.024308,893.0,-205.98,8058.707044,-1858.8269618399997,-0.2306606942889137,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
36,P27181,"atpF,sll1324",179,19804.0,27.5,10.764694,859.0,-106.28,9246.872146,-1144.07167832,-0.1237252619324796,0.1117318435754189,0.1280558789289872,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
37,P27182,"atpE,atpH,ssl2615",81,7968.3,27.5,1.0137166,360.0,-99.87,364.937976,-101.239876842,-0.2774166666666667,0.4938271604938271,0.5111111111111111,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
38,P27183,"atpG,sll1323",143,16245.000000000002,27.5,4.951812,711.0,-94.04,3520.7383320000004,-465.66840048000006,-0.1322644163150492,0.1398601398601398,0.1561181434599156,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
39,P27320,"petF,fed,ssl0020",97,10363.0,27.5,21.7631,440.0,-9.739999999999998,9575.764000000001,-211.972594,-0.0221363636363636,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
40,P27589,"petD,slr0343",160,17444.0,27.5,17.02555,825.0,-277.59000000000003,14046.078749999999,-4726.1224245,-0.3364727272727273,0.375,0.3527272727272727,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
41,P27724,"ndhH,slr0261",394,45534.0,27.5,3.70626,2056.0,-325.47,7620.07056,-1206.2764422,-0.1583025291828794,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
42,P28371,"fusA,fus,slr1463",695,76749.0,27.5,15.07978,3392.0,-471.44000000000005,51150.61376,-7109.211483200001,-0.1389858490566038,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
43,P28372,"chlN,slr0750",469,52474.0,27.5,0.08224502,2347.0,-421.47,193.02906194,-34.663808579400005,-0.1795781849169152,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
44,P28373,"chlL,frxC,slr0749",288,31480.0,27.5,0.22845045,1414.0,-277.57000000000005,323.0289363,-63.41099140650001,-0.1963012729844413,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
45,P28463,"hemA,slr1808",427,47525.0,27.5,0.6797306,2085.0,-347.93999999999994,1417.2383009999999,-236.50546496399994,-0.1668776978417266,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
46,P29107,"ilvC,sll1363",331,35821.0,27.5,38.68702,1593.0,-249.66000000000005,61628.42285999999,-9658.601413200002,-0.1567231638418079,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
47,P29254,"psaA,slr1834",751,82949.0,27.5,178.24,3847.0,-680.5699999999999,685689.28,-121304.7968,-0.1769092799584091,0.3195739014647137,0.3371458279178581,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
48,P29255,"psaB,slr1835",731,81291.0,27.5,121.4822,3806.0,-650.27,462361.25320000004,-78996.230194,-0.1708539148712559,0.3283173734610123,0.3483972674724119,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
49,P29256,"psaF,sll0819",165,18249.0,27.5,225.5696,840.0,-181.54000000000005,189478.464,-40949.90518400001,-0.2161190476190476,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
50,P29273,"pds,crtD,slr1254",472,52920.0,27.5,0.5646288,2392.0,-429.3,1350.5920896,-242.39514384000003,-0.1794732441471572,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
51,P32421,"ndhD1,ndhD,slr0331",525,57510.0,27.5,0.490551,2710.0,-904.27,1329.39321,-443.59055277,-0.3336789667896679,0.5333333333333333,0.5461254612546126,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
52,P32422,"psaC,ssl0563",81,8828.2,27.5,147.65,374.0,-29.87,55221.1,-4410.3055,-0.0798663101604278,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
53,P33779,"ntcA,sll1423",225,25046.0,27.5,0.6931894,1120.0,-235.72,776.372128,-163.39860536799998,-0.2104642857142857,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
54,P36236,"rplA,rpl1,sll1744",238,25852.0,27.5,25.6913,1135.0,-192.1,29159.6255,-4935.2987299999995,-0.1692511013215859,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
55,P36237,"rplK,rpl11,sll1743",141,14977.0,27.5,26.3191,663.0,-144.07999999999998,17449.563299999998,-3792.0559279999993,-0.217315233785822,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
56,P36239,"rplS,rpl19,sll1740",122,13786.0,27.5,24.03014,615.0,-136.2,14778.5361,-3272.9050679999996,-0.2214634146341463,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
57,P36265,"nusG,sll1742",205,23416.0,27.5,2.965534,1041.0,-151.85,3087.1208939999997,-450.31633789999995,-0.1458693563880883,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
58,P37101,"prk,ptk,sll1525",332,37913.0,27.5,21.05354,1698.0,-291.7,35748.91092,-6141.317618,-0.1717903415783274,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
59,P37277,"psaL,slr1655",157,16624.0,27.5,416.1926,766.0,-139.31,318803.53160000005,-57979.791106000004,-0.1818668407310705,0.2547770700636942,0.248041775456919,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
60,P37294,"crtB,pys,slr1255",337,38707.0,27.5,0.13260532,1737.0,-229.68,230.33544084,-30.4567898976,-0.1322279792746114,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
61,P37979,"icfG,slr1860",634,70961.0,27.5,0.02235782,3202.0,-600.75,71.58973964,-13.431460365,-0.1876171143035602,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
62,P38382,"secE,ssl3335",81,9133.5,27.5,3.80129,416.0,-99.83,1581.33664,-379.4827807,-0.2399759615384615,0.2469135802469135,0.2692307692307692,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
63,P42349,sll1242,536,61755.0,27.5,0.3421456,2801.0,-497.12,958.3498256,-170.087420672,-0.1774794716172795,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
64,P42350,slr1353,291,31283.0,27.5,0.2730824,1390.0,-233.61,379.584536,-63.794779464,-0.1680647482014388,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
65,P42352,"rplI,rpl9,sll1244",152,16641.0,27.5,30.73422,744.0,-166.16,22866.25968,-5106.7979952,-0.2233333333333333,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
66,P45450,"murF,slr1351",454,48297.0,27.5,0.8742398,2145.0,-357.42,1875.244371,-312.47078931600004,-0.1666293706293706,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
67,P48054,"hisB,slr0500",210,23063.0,27.5,0.3682366,1018.0,-113.54999999999998,374.86485880000004,-41.81326593,-0.1115422396856581,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
68,P48576,"leuA,slr0186",533,57413.0,27.5,1.169171,2547.0,-397.57,2977.878537,-464.82731447,-0.1560934432665881,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
69,P48939,"rpsD,rps4,slr0469",202,23183.0,27.5,27.49874,1017.0,-124.21,27966.21858,-3415.6184954,-0.1221337266470009,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
70,P48944,"rpsN,rps14,slr0628",100,11854.0,27.5,25.7267,513.0,-32.2,13197.7971,-828.3997400000001,-0.0627680311890838,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
71,P48946,"rpsR,rps18,ssr1399",71,8380.800000000001,27.5,27.93184,378.0,-96.15999999999998,10558.23552,-2685.9257344,-0.2543915343915343,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
72,P48949,"rpsU,rps21,ssl0601",60,7341.400000000001,27.5,17.928516,319.0,-18.119999999999997,5719.196604,-324.86470991999994,-0.0568025078369905,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
73,P48957,"rplT,rpl20,sll0767",117,13553.0,27.5,9.888598,594.0,-102.39,5873.827212,-1012.49354922,-0.1723737373737373,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
74,P48958,"rpmG,rpl33,ssr1398",65,7548.7,27.5,6.648191,316.0,-16.16,2100.828356,-107.43476656,-0.0511392405063291,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
75,P48959,"rpmI,rpl35,ssl1426",67,7891.3,27.5,2.027396,348.0,-64.16,705.533808,-130.07772735999998,-0.184367816091954,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
76,P49057,"guaA,slr0213",542,61008.0,27.5,1.997032,2726.0,-399.28,5443.909232,-797.3749369599999,-0.1464710198092443,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
77,P49433,"gap1,slr0884",339,36146.0,27.5,1.406242,1609.0,-259.46000000000004,2262.643378,-364.86354932000006,-0.161255438160348,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
78,P50027,slr0093,332,36365.0,27.5,0.51601,1614.0,-145.64,832.8401399999999,-75.15169639999999,-0.0902354399008674,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
79,P51634,"chlI,slr1030",357,39463.0,27.5,9.762722,1734.0,-274.03,16928.559948000002,-2675.2787096599995,-0.158033448673587,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
80,P52056,slr0556,218,24038.0,27.5,0.0964989,1081.0,-247.85,104.3153109,-23.917252365,-0.2292784458834412,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
81,P52208,"gnd,sll0329",482,52873.0,27.5,12.162508,2368.0,-385.33,28800.818944000002,-4686.57920764,-0.1627238175675676,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
82,P52231,"trxA,slr0623",107,11748.0,27.5,35.30436,524.0,-101.88,18499.484640000002,-3596.8081968,-0.1944274809160305,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
83,P52276,"asnS,sll0495",462,52698.0,27.5,1.1161662,2369.0,-331.11,2644.1977278000004,-369.57379048200005,-0.1397678345293372,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
84,P52415,"glgC,agp,slr1176",439,49366.0,27.5,10.075292,2202.0,-333.46,22185.792984,-3359.7068703199993,-0.1514350590372388,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
85,P52601,sll0766,243,26973.0,27.5,0.046870535,1208.0,-233.88,56.61960628,-10.9620807258,-0.1936092715231788,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
86,P52761,slr0709,130,13834.0,27.5,0.31873096,615.0,-113.82,196.0195404,-36.2779578672,-0.1850731707317073,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
87,P52876,sll0615,206,22380.0,27.5,0.04626085,1044.0,-325.57,48.2963274,-15.0611449345,-0.3118486590038314,0.4854368932038835,0.5047892720306514,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
88,P52965,"nifJ,sll0741",1199,131460.0,27.5,0.021201942,5842.0,-721.8199999999999,123.86174516400001,-15.30398577444,-0.1235570010270455,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
89,P52981,"glgB,sll0158",770,89526.0,27.5,2.496856,4094.0,-394.71,10222.128464000001,-985.5340317600001,-0.0964118221787982,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
90,P52983,"pgi,slr1349",531,58356.0,27.5,3.018078,2612.0,-361.22,7883.219736,-1090.1901351600002,-0.1382924961715161,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
91,P52986,"hom,sll0455",433,45486.0,27.5,1.391564,2018.0,-367.5899999999999,2808.176152,-511.5250107599999,-0.1821555996035678,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
92,P53383,"mrp,slr0067",353,37131.0,27.5,2.246748,1655.0,-377.84,3718.36794,-848.91126432,-0.2283021148036254,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
93,P53579,slr0918,253,27235.0,27.5,0.3930544,1212.0,-195.72,476.3819328,-76.928607168,-0.1614851485148515,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
94,P54123,"rnj,slr0551",640,70426.0,27.5,1.820042,3105.0,-501.53,5651.23041,-912.80566426,-0.1615233494363929,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
95,P54147,sll0108,507,53580.0,27.5,4.327788,2482.0,-586.0600000000001,10741.569816,-2536.3434352800004,-0.2361240934730056,0.5128205128205128,0.5217566478646253,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
96,P54205,"cbbL,rbcL,slr0009",470,52490.0,27.5,160.5514,2332.0,-233.1,374405.8648,-37424.53134,-0.0999571183533447,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
97,P54206,"cbbS,rbcS,slr0012",113,13239.0,27.5,262.5324,598.0,-77.7,156994.3752,-20398.76748,-0.1299331103678929,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
98,P54224,"hemE,slr0536",350,39152.0,27.5,13.54274,1775.0,-349.5,24038.3635,-4733.18763,-0.1969014084507042,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
99,P54225,"hemH,slr0839",387,43924.0,27.5,1.433026,2005.0,-375.15,2873.21713,-537.5997038999999,-0.1871072319201994,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
100,P54261,"gcvT,sll0171",372,41036.0,27.5,0.5796578,1845.0,-369.75,1069.468641,-214.32847155,-0.2004065040650406,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
101,P54384,"leuC,sll1470",468,50458.0,27.5,1.642748,2221.0,-237.21000000000004,3648.5433080000003,-389.6762530800001,-0.1068032417829806,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
